Categorie,Actif,Criticite,Vulnerabilite,Exposition,Disponibilite,Sensibilite_donnees,Interdependance
Humain,Administrateur réseau #508,2,2,1,3,3,5
Humain,Cadre stratégique #509,2,5,4,4,4,3
Humain,Administrateur système #510,2,4,4,2,1,2
Technologique,Serveur central #511,3,5,4,5,1,3
Organisationnel,Procédure opérationnelle #512,3,3,2,4,5,2
Informationnel,Logs sécuritaires #513,3,2,2,3,5,3
Technologique,Poste critique #514,2,4,5,4,4,1
Informationnel,Casier judiciaire #515,2,2,3,4,4,4
Technologique,Serveur central #516,5,4,3,5,3,2
Technologique,Serveur central #517,5,3,5,2,2,3
Humain,Administrateur réseau #518,3,4,4,4,5,3
Informationnel,Base état civil #519,2,3,3,2,2,2
Humain,Opérateur SOC #520,3,4,1,4,1,3
Organisationnel,Politique sécurité #521,3,5,4,2,5,2
Organisationnel,Plan de réponse incident #522,5,4,2,4,3,5
Organisationnel,Politique sécurité #523,5,2,3,3,5,3
Informationnel,Logs sécuritaires #524,4,4,5,2,2,4
Informationnel,Casier judiciaire #525,3,3,1,5,1,5
Humain,Administrateur système #526,4,4,4,2,3,3
Informationnel,Casier judiciaire #527,3,1,2,2,4,5
Organisationnel,Plan de réponse incident #528,4,2,4,2,2,1
Technologique,Serveur territorial #529,2,4,4,4,2,3
Humain,Administrateur système #530,2,5,2,2,1,2
Organisationnel,Plan de réponse incident #531,2,5,4,2,3,3
Informationnel,Casier judiciaire #532,5,2,3,4,5,4
Humain,Administrateur réseau #533,5,5,5,3,4,2
Organisationnel,Politique sécurité #534,5,5,5,5,1,3
Organisationnel,Plan de continuité #535,3,1,3,5,2,3
Informationnel,Base données identité #536,4,3,5,5,2,5
Organisationnel,Politique sécurité #537,5,3,2,2,1,5
Organisationnel,Plan de continuité #538,4,5,5,4,5,1
Informationnel,Logs sécuritaires #539,2,4,5,2,2,5
Informationnel,Archives numériques #540,4,3,4,5,4,3
Humain,Agent territorial #541,4,1,5,2,2,2
Technologique,Poste critique #542,2,1,3,4,1,3
Humain,Agent territorial #543,4,5,5,5,1,3
Humain,Administrateur réseau #544,3,3,2,4,1,1
Humain,Administrateur réseau #545,3,1,1,5,4,1
Humain,Opérateur SOC #546,2,1,1,4,1,3
Organisationnel,Procédure opérationnelle #547,2,2,3,3,1,2
Humain,Opérateur SOC #548,3,1,1,3,3,1
Informationnel,Base données identité #549,2,4,4,2,3,1
Humain,Administrateur système #550,5,5,1,2,3,2
Humain,Agent territorial #551,5,4,2,2,3,3
Organisationnel,Processus décisionnel #552,5,2,1,3,2,5
Humain,Agent territorial #553,5,3,5,4,1,1
Informationnel,Casier judiciaire #554,2,1,5,4,5,3
Humain,Agent territorial #555,5,3,3,3,1,4
Humain,Agent territorial #556,5,2,3,2,5,3
Technologique,Réseau WAN #557,4,2,4,5,4,1
Informationnel,Archives numériques #558,3,5,3,2,3,4
Informationnel,Base données identité #559,2,1,4,3,5,3
Informationnel,Base état civil #560,5,1,3,3,5,3
Technologique,Poste critique #561,4,4,1,2,4,3
Organisationnel,Plan de réponse incident #562,5,4,5,5,2,2
Informationnel,Base données identité #563,5,2,5,3,1,2
Technologique,Serveur territorial #564,2,4,1,2,2,2
Organisationnel,Procédure opérationnelle #565,2,3,1,5,3,3
Technologique,Serveur territorial #566,2,3,2,5,2,2
Humain,Cadre stratégique #567,2,4,3,2,4,4
Humain,Agent territorial #568,4,2,5,3,3,3
Technologique,Serveur central #569,2,1,3,5,3,4
Technologique,Application métier #570,5,1,3,3,1,2
Informationnel,Casier judiciaire #571,3,3,5,4,4,2
Technologique,Serveur central #572,2,4,1,2,5,4
Humain,Administrateur système #573,2,4,3,2,2,4
Informationnel,Logs sécuritaires #574,3,2,1,3,2,3
Technologique,Serveur territorial #575,4,4,3,2,1,4
Humain,Agent territorial #576,2,3,1,4,2,3
Organisationnel,Plan de continuité #577,2,3,1,2,2,2
Organisationnel,Plan de réponse incident #578,5,1,5,4,4,1
Informationnel,Logs sécuritaires #579,4,2,3,2,2,3
Technologique,Serveur territorial #580,2,3,2,3,2,2
Technologique,Réseau WAN #581,5,3,5,5,3,2
Technologique,Serveur central #582,4,3,3,3,2,1
Informationnel,Logs sécuritaires #583,3,3,1,4,1,4
Organisationnel,Procédure opérationnelle #584,3,5,1,3,3,5
Technologique,Application métier #585,3,3,3,5,2,4
Technologique,Réseau LAN #586,4,5,4,3,2,3
Technologique,Serveur central #587,2,4,5,4,4,4
Humain,Administrateur système #588,4,3,2,2,1,5
Organisationnel,Plan de réponse incident #589,2,1,2,5,5,2
Humain,Cadre stratégique #590,2,4,3,4,4,5
Informationnel,Archives numériques #591,5,4,3,5,2,1
Informationnel,Logs sécuritaires #592,4,2,4,5,1,5
Humain,Opérateur SOC #593,5,2,1,3,2,1
Informationnel,Logs sécuritaires #594,2,1,3,2,3,1
Technologique,Application métier #595,3,1,4,4,3,1
Humain,Administrateur système #596,2,5,5,5,4,5
Informationnel,Logs sécuritaires #597,3,5,4,3,1,1
Technologique,Réseau WAN #598,5,2,3,3,2,2
Humain,Agent territorial #599,4,4,2,2,2,4
Humain,Cadre stratégique #600,3,4,3,2,1,1
Technologique,Serveur central #601,4,3,2,5,2,1
Informationnel,Base état civil #602,3,3,5,3,1,2
Informationnel,Logs sécuritaires #603,5,1,5,5,5,5
Humain,Administrateur réseau #604,2,5,5,3,1,3
Humain,Administrateur réseau #605,2,5,1,2,1,3
Informationnel,Casier judiciaire #606,2,3,5,2,3,2
Organisationnel,Procédure opérationnelle #607,3,4,1,5,1,5
Informationnel,Base données identité #608,4,4,3,3,1,5
Humain,Cadre stratégique #609,3,1,5,4,3,3
Informationnel,Base données identité #610,5,2,3,5,2,4
Humain,Administrateur système #611,5,4,4,5,1,1
Informationnel,Base état civil #612,3,5,5,3,4,5
Humain,Administrateur réseau #613,2,3,3,4,3,4
Humain,Agent territorial #614,5,3,2,4,3,3
Technologique,Réseau WAN #615,3,1,1,5,4,2
Informationnel,Base données identité #616,5,1,2,3,5,5
Technologique,Serveur territorial #617,5,1,3,2,3,4
Informationnel,Casier judiciaire #618,4,4,1,4,4,5
Technologique,Serveur central #619,5,3,5,5,2,4
Technologique,Application métier #620,2,2,4,3,5,5
Humain,Cadre stratégique #621,2,5,3,3,4,2
Organisationnel,Processus décisionnel #622,4,1,2,3,2,4
Humain,Administrateur réseau #623,4,2,1,5,1,3
Technologique,Réseau WAN #624,3,5,1,3,5,4
Informationnel,Base état civil #625,3,5,3,5,2,5
Humain,Agent territorial #626,5,4,2,2,4,4
Informationnel,Archives numériques #627,5,1,5,4,5,5
Organisationnel,Processus décisionnel #628,4,5,4,5,2,1
Organisationnel,Processus décisionnel #629,5,5,5,3,2,2
Organisationnel,Processus décisionnel #630,2,5,3,5,4,3
Informationnel,Casier judiciaire #631,5,5,2,4,5,3
Humain,Opérateur SOC #632,2,1,3,5,3,3
Informationnel,Casier judiciaire #633,3,3,4,5,5,3
Technologique,Poste critique #634,4,2,1,5,4,3
Technologique,Réseau WAN #635,4,5,5,2,2,3
Informationnel,Archives numériques #636,2,5,3,4,2,2
Informationnel,Casier judiciaire #637,2,4,3,4,3,2
Humain,Agent territorial #638,2,3,5,4,5,4
Technologique,Réseau LAN #639,3,1,2,5,1,3
Organisationnel,Processus décisionnel #640,2,2,3,4,2,3
Informationnel,Archives numériques #641,2,1,3,4,1,1
Technologique,Serveur territorial #642,3,3,1,5,4,1
Humain,Agent territorial #643,3,2,1,2,2,4
Technologique,Serveur central #644,4,3,3,4,4,4
Technologique,Poste critique #645,4,4,2,3,5,5
Technologique,Application métier #646,2,2,4,3,2,3
Organisationnel,Plan de continuité #647,5,3,4,5,5,2
Technologique,Serveur central #648,5,4,4,4,3,5
Humain,Cadre stratégique #649,2,1,3,4,4,5
Technologique,Serveur central #650,4,1,5,3,4,4
Humain,Opérateur SOC #651,4,4,1,2,2,5
Humain,Cadre stratégique #652,3,2,4,3,2,3
Organisationnel,Politique sécurité #653,3,2,4,4,5,4
Humain,Opérateur SOC #654,3,1,4,5,3,5
Technologique,Réseau LAN #655,3,4,1,5,5,5
Organisationnel,Plan de continuité #656,2,2,4,4,2,2
Humain,Cadre stratégique #657,5,5,2,5,3,4
Organisationnel,Plan de continuité #658,3,1,1,4,2,1
Humain,Administrateur réseau #659,2,2,1,3,5,1
Organisationnel,Politique sécurité #660,4,4,1,4,2,5
Informationnel,Base données identité #661,5,4,2,4,5,2
Informationnel,Base données identité #662,4,4,4,3,3,4
Humain,Administrateur système #663,4,2,4,4,1,5
Informationnel,Base données identité #664,2,5,3,2,1,4
Technologique,Poste critique #665,4,4,4,4,1,5
Organisationnel,Processus décisionnel #666,3,4,5,3,3,4
Humain,Opérateur SOC #667,3,2,5,3,1,3
Technologique,Réseau WAN #668,5,3,4,2,3,5
Humain,Opérateur SOC #669,3,4,1,4,1,5
Technologique,Réseau LAN #670,4,4,5,2,2,2
Informationnel,Archives numériques #671,5,5,1,3,4,1
Informationnel,Logs sécuritaires #672,2,2,2,4,5,3
Technologique,Réseau WAN #673,2,5,1,5,1,5
Organisationnel,Politique sécurité #674,3,2,1,3,5,2
Informationnel,Base état civil #675,2,3,5,3,5,1
Organisationnel,Processus décisionnel #676,5,1,4,3,4,5
Humain,Agent territorial #677,3,1,1,5,1,1
Organisationnel,Processus décisionnel #678,4,2,1,5,4,1
Informationnel,Base données identité #679,2,3,4,2,3,2
Technologique,Réseau WAN #680,4,3,1,2,2,5
Informationnel,Logs sécuritaires #681,5,2,5,2,3,1
Informationnel,Casier judiciaire #682,4,3,1,2,3,2
Humain,Cadre stratégique #683,4,4,3,2,3,4
Technologique,Poste critique #684,4,5,3,5,4,2
Informationnel,Casier judiciaire #685,5,2,5,5,2,1
Informationnel,Archives numériques #686,4,4,3,3,4,3
Technologique,Réseau WAN #687,5,1,2,3,1,4
Organisationnel,Politique sécurité #688,5,4,3,2,4,5
Informationnel,Base état civil #689,4,2,2,2,2,4
Organisationnel,Politique sécurité #690,4,3,5,4,2,3
Organisationnel,Procédure opérationnelle #691,4,3,4,2,5,4
Technologique,Serveur territorial #692,4,2,4,5,4,1
Technologique,Serveur central #693,3,3,2,2,1,4
Informationnel,Archives numériques #694,3,5,5,2,4,5
Humain,Administrateur réseau #695,3,4,1,2,1,2
Informationnel,Base données identité #696,4,4,4,4,2,5
Organisationnel,Processus décisionnel #697,3,3,2,3,1,4
Informationnel,Casier judiciaire #698,2,5,2,2,5,5
Organisationnel,Processus décisionnel #699,2,5,5,2,3,2
Informationnel,Archives numériques #700,4,3,4,5,4,2
Informationnel,Casier judiciaire #701,5,5,5,3,4,2
Technologique,Serveur central #702,4,2,5,5,2,4
Informationnel,Archives numériques #703,2,5,1,2,1,2
Technologique,Serveur territorial #704,2,1,3,2,1,1
Technologique,Serveur territorial #705,2,1,1,5,5,3
Technologique,Poste critique #706,4,5,5,4,5,1
Humain,Opérateur SOC #707,5,3,4,3,5,2
Informationnel,Base données identité #708,3,2,5,3,4,3
Organisationnel,Politique sécurité #709,3,4,1,2,5,4
Humain,Cadre stratégique #710,4,3,4,4,1,3
Humain,Agent territorial #711,5,3,2,5,4,5
Informationnel,Base données identité #712,4,3,2,2,3,4
Informationnel,Base état civil #713,5,5,4,5,3,4
Organisationnel,Plan de continuité #714,2,2,4,5,5,2
Humain,Cadre stratégique #715,3,3,1,4,5,2
Organisationnel,Plan de continuité #716,4,2,5,2,3,2
Technologique,Serveur territorial #717,3,5,5,2,4,2
Humain,Opérateur SOC #718,4,5,2,2,4,4
Informationnel,Base état civil #719,3,2,1,2,2,4
Technologique,Réseau WAN #720,4,3,2,4,3,1
Organisationnel,Plan de continuité #721,4,4,1,2,3,5
Organisationnel,Processus décisionnel #722,3,1,4,3,3,5
Humain,Administrateur réseau #723,4,1,4,5,1,2
Informationnel,Casier judiciaire #724,2,1,2,4,5,5
Humain,Agent territorial #725,5,1,4,3,5,1
Technologique,Poste critique #726,3,1,2,3,1,1
Technologique,Réseau WAN #727,5,2,2,4,3,3
Informationnel,Logs sécuritaires #728,3,5,1,5,2,4
Informationnel,Base état civil #729,3,3,3,5,1,3
Technologique,Réseau WAN #730,2,3,2,5,1,4
Humain,Administrateur réseau #731,5,4,5,5,2,2
Humain,Cadre stratégique #732,4,4,4,2,3,1
Humain,Opérateur SOC #733,2,4,5,5,5,2
Organisationnel,Plan de continuité #734,5,5,4,2,2,5
Organisationnel,Plan de continuité #735,2,5,5,4,4,4
Humain,Opérateur SOC #736,3,5,5,4,4,5
Organisationnel,Procédure opérationnelle #737,3,4,2,3,2,5
Technologique,Réseau LAN #738,3,5,3,4,2,5
Humain,Opérateur SOC #739,5,4,4,4,4,1
Humain,Cadre stratégique #740,4,4,1,5,1,4
Technologique,Serveur territorial #741,2,4,3,2,2,4
Informationnel,Archives numériques #742,3,5,2,2,2,4
Humain,Administrateur réseau #743,3,3,1,2,5,3
Humain,Opérateur SOC #744,5,2,3,5,2,2
Technologique,Réseau LAN #745,5,1,5,4,3,1
Humain,Opérateur SOC #746,5,2,2,5,1,1
Humain,Agent territorial #747,5,1,4,2,2,2
Technologique,Réseau LAN #748,5,3,2,4,2,3
Humain,Opérateur SOC #749,4,4,3,3,3,1
Technologique,Serveur territorial #750,2,2,4,3,4,4
Informationnel,Logs sécuritaires #751,3,4,2,5,1,5
Organisationnel,Procédure opérationnelle #752,3,2,5,3,5,1
Organisationnel,Politique sécurité #753,4,3,1,5,2,2
Informationnel,Base état civil #754,5,1,4,3,1,2
Organisationnel,Procédure opérationnelle #755,3,4,4,3,1,3
Organisationnel,Plan de continuité #756,5,3,2,4,1,2
Informationnel,Archives numériques #757,2,4,4,2,5,2
Technologique,Poste critique #758,2,2,2,5,2,4
Technologique,Poste critique #759,5,5,4,3,5,4
Organisationnel,Procédure opérationnelle #760,5,1,5,5,4,2
Technologique,Réseau WAN #761,4,5,3,5,3,5
Organisationnel,Plan de réponse incident #762,5,3,4,5,1,5
Humain,Opérateur SOC #763,4,4,1,2,4,2
Informationnel,Logs sécuritaires #764,4,4,3,3,3,1
Informationnel,Casier judiciaire #765,2,4,3,3,5,3
Organisationnel,Processus décisionnel #766,2,1,5,3,1,2
Informationnel,Logs sécuritaires #767,5,3,1,5,1,4
Organisationnel,Processus décisionnel #768,4,3,5,3,2,3
Organisationnel,Processus décisionnel #769,2,2,5,4,1,1
Technologique,Application métier #770,5,5,3,2,3,4
Humain,Opérateur SOC #771,4,4,4,5,5,4
Informationnel,Archives numériques #772,4,3,3,2,3,5
Informationnel,Archives numériques #773,2,4,4,4,5,5
Technologique,Réseau WAN #774,4,4,2,3,3,2
Humain,Cadre stratégique #775,2,4,1,5,3,3
Organisationnel,Processus décisionnel #776,3,2,3,4,2,3
Humain,Agent territorial #777,3,1,2,5,1,3
Organisationnel,Processus décisionnel #778,5,3,5,5,1,4
Technologique,Poste critique #779,3,4,3,4,5,5
Technologique,Application métier #780,5,1,5,2,5,1
Organisationnel,Plan de continuité #781,4,1,2,4,4,1
Humain,Opérateur SOC #782,4,2,4,4,1,2
Informationnel,Logs sécuritaires #783,4,1,4,3,3,4
Informationnel,Casier judiciaire #784,5,4,5,2,1,3
Technologique,Serveur territorial #785,4,5,4,3,1,2
Humain,Administrateur système #786,3,1,1,3,2,1
Humain,Opérateur SOC #787,3,3,4,2,1,4
Informationnel,Archives numériques #788,3,4,1,5,3,2
Organisationnel,Procédure opérationnelle #789,4,2,1,2,3,5
Organisationnel,Processus décisionnel #790,5,2,4,4,3,3
Organisationnel,Procédure opérationnelle #791,3,4,4,2,3,3
Humain,Agent territorial #792,2,1,2,5,1,4
Technologique,Poste critique #793,3,3,2,5,4,4
Technologique,Serveur territorial #794,2,5,1,4,2,2
Humain,Administrateur réseau #795,2,4,3,2,2,5
Technologique,Serveur central #796,3,1,2,2,4,3
Humain,Administrateur système #797,3,5,4,4,5,1
Humain,Opérateur SOC #798,4,2,4,4,5,4
Technologique,Serveur territorial #799,4,3,2,5,5,2
Informationnel,Archives numériques #800,4,2,3,5,3,2
Organisationnel,Procédure opérationnelle #801,3,5,2,5,2,1
Humain,Administrateur système #802,2,3,4,5,4,3
Humain,Administrateur système #803,2,2,5,3,5,5
Technologique,Application métier #804,5,3,2,4,2,5
Humain,Cadre stratégique #805,4,2,4,2,3,4
Humain,Opérateur SOC #806,2,3,3,5,2,4
Humain,Agent territorial #807,4,5,3,2,5,3
Organisationnel,Procédure opérationnelle #808,5,5,5,2,2,1
Technologique,Serveur central #809,2,4,1,3,3,1
Informationnel,Base état civil #810,5,1,1,5,2,1
Organisationnel,Procédure opérationnelle #811,4,3,5,4,1,2
Technologique,Application métier #812,4,4,2,4,4,1
Organisationnel,Processus décisionnel #813,5,3,1,5,4,4
Informationnel,Archives numériques #814,3,1,2,5,3,2
Organisationnel,Plan de réponse incident #815,2,5,1,5,2,2
Technologique,Serveur territorial #816,4,5,2,4,4,5
Technologique,Serveur central #817,4,3,3,4,5,2
Technologique,Poste critique #818,3,5,4,5,1,1
Humain,Cadre stratégique #819,4,3,2,5,4,4
Organisationnel,Processus décisionnel #820,2,3,4,4,4,5
Technologique,Serveur central #821,2,2,3,3,3,5
Technologique,Réseau LAN #822,3,4,3,5,5,4
Humain,Opérateur SOC #823,3,5,1,2,1,3
Organisationnel,Processus décisionnel #824,4,5,3,3,1,5
Informationnel,Casier judiciaire #825,2,4,2,5,3,3
Technologique,Serveur territorial #826,5,4,3,3,3,1
Informationnel,Logs sécuritaires #827,2,5,2,5,5,5
Informationnel,Archives numériques #828,2,5,4,2,4,1
Technologique,Serveur central #829,3,2,1,3,3,1
Informationnel,Logs sécuritaires #830,4,2,3,4,5,3
Informationnel,Casier judiciaire #831,3,1,4,2,5,3
Technologique,Serveur central #832,5,1,5,2,4,3
Technologique,Serveur central #833,5,2,5,4,3,1
Organisationnel,Processus décisionnel #834,2,1,2,4,1,2
Organisationnel,Plan de continuité #835,5,2,2,2,5,5
Technologique,Application métier #836,3,1,3,4,2,2
Technologique,Serveur central #837,5,2,4,5,4,5
Informationnel,Archives numériques #838,4,1,5,2,2,4
Informationnel,Casier judiciaire #839,2,4,5,4,5,4
Humain,Administrateur réseau #840,4,2,5,2,4,2
Informationnel,Base état civil #841,2,1,3,5,1,5
Humain,Cadre stratégique #842,2,5,2,2,4,5
Organisationnel,Plan de réponse incident #843,3,4,1,5,2,4
Humain,Opérateur SOC #844,4,5,2,4,5,1
Humain,Administrateur réseau #845,5,4,1,2,2,1
Informationnel,Base état civil #846,4,4,2,4,3,2
Humain,Administrateur réseau #847,4,4,5,4,3,4
Humain,Administrateur système #848,5,1,4,4,3,1
Humain,Agent territorial #849,4,3,1,2,3,2
Organisationnel,Plan de continuité #850,4,2,1,4,5,5
Humain,Cadre stratégique #851,3,2,4,2,2,5
Technologique,Serveur central #852,4,1,3,3,3,2
Organisationnel,Processus décisionnel #853,4,5,3,3,5,3
Organisationnel,Processus décisionnel #854,5,3,1,2,1,5
Humain,Agent territorial #855,4,3,3,3,5,3
Informationnel,Casier judiciaire #856,5,4,1,4,3,2
Informationnel,Base données identité #857,3,4,5,2,3,1
Humain,Opérateur SOC #858,5,3,4,4,3,4
Technologique,Application métier #859,2,1,4,5,4,2
Technologique,Poste critique #860,3,2,3,4,2,4
Humain,Cadre stratégique #861,3,5,1,3,5,4
Informationnel,Logs sécuritaires #862,2,2,4,3,1,5
Technologique,Serveur territorial #863,3,5,5,2,3,2
Informationnel,Logs sécuritaires #864,3,1,5,5,5,5
Informationnel,Casier judiciaire #865,2,2,2,5,1,3
Informationnel,Base état civil #866,4,2,4,2,2,1
Humain,Administrateur système #867,2,5,4,5,3,1
Informationnel,Base données identité #868,2,2,1,3,1,3
Organisationnel,Politique sécurité #869,4,5,3,3,1,2
Humain,Administrateur système #870,4,1,1,5,4,4
Informationnel,Base état civil #871,4,3,3,5,1,4
Technologique,Serveur central #872,4,4,4,3,2,2
Technologique,Serveur central #873,2,2,5,2,5,3
Humain,Opérateur SOC #874,3,1,2,4,3,2
Technologique,Serveur territorial #875,5,3,2,3,2,1
Organisationnel,Procédure opérationnelle #876,5,2,3,2,5,2
Technologique,Serveur central #877,4,4,2,4,3,4
Organisationnel,Processus décisionnel #878,3,1,1,2,3,1
Humain,Agent territorial #879,4,5,3,5,5,3
Informationnel,Base état civil #880,3,1,2,4,2,1
Technologique,Poste critique #881,4,1,3,5,3,1
Organisationnel,Politique sécurité #882,4,2,5,2,4,5
Informationnel,Logs sécuritaires #883,2,3,1,4,5,5
Organisationnel,Plan de continuité #884,4,5,2,5,4,1
Organisationnel,Politique sécurité #885,5,3,1,2,3,4
Informationnel,Archives numériques #886,4,2,5,5,3,2
Technologique,Serveur territorial #887,2,1,5,5,1,4
Informationnel,Logs sécuritaires #888,3,3,2,3,5,1
Humain,Administrateur réseau #889,2,4,3,3,1,4
Informationnel,Casier judiciaire #890,2,5,5,3,2,1
Organisationnel,Plan de réponse incident #891,3,3,3,4,5,2
Informationnel,Base données identité #892,2,3,2,5,2,3
Humain,Administrateur système #893,2,5,4,5,2,2
Technologique,Poste critique #894,5,5,4,2,1,2
Humain,Administrateur réseau #895,4,4,1,5,3,4
Informationnel,Casier judiciaire #896,3,2,2,4,4,2
Humain,Opérateur SOC #897,4,1,4,3,2,1
Humain,Administrateur réseau #898,2,5,3,2,1,5
Organisationnel,Procédure opérationnelle #899,2,5,1,3,1,4
Technologique,Serveur central #900,5,1,1,2,2,2
Humain,Opérateur SOC #901,2,2,5,5,2,5
Informationnel,Base état civil #902,3,4,5,2,2,1
Informationnel,Base données identité #903,2,4,2,4,4,3
Organisationnel,Procédure opérationnelle #904,2,3,4,2,3,2
Organisationnel,Politique sécurité #905,2,2,2,3,4,1
Technologique,Application métier #906,4,2,1,3,3,1
Organisationnel,Procédure opérationnelle #907,5,1,3,4,1,2
Humain,Agent territorial #908,5,5,4,5,5,1
Informationnel,Base données identité #909,3,2,5,4,4,4
Organisationnel,Procédure opérationnelle #910,3,3,2,3,1,2
Informationnel,Logs sécuritaires #911,5,3,4,5,5,2
Humain,Administrateur réseau #912,3,4,1,5,2,4
Informationnel,Logs sécuritaires #913,3,2,4,3,5,4
Organisationnel,Plan de continuité #914,5,2,2,2,5,1
Technologique,Réseau LAN #915,3,4,4,4,3,4
Organisationnel,Politique sécurité #916,5,4,3,3,4,5
Technologique,Poste critique #917,2,4,2,5,4,3
Technologique,Poste critique #918,2,3,3,3,4,3
Informationnel,Casier judiciaire #919,2,3,5,4,3,2
Informationnel,Logs sécuritaires #920,2,1,3,2,1,2
Informationnel,Logs sécuritaires #921,2,3,2,5,5,3
Humain,Administrateur réseau #922,5,4,2,2,2,2
Informationnel,Base données identité #923,4,3,1,5,4,2
Informationnel,Base état civil #924,3,5,1,5,2,5
Humain,Administrateur réseau #925,5,1,2,3,5,3
Humain,Administrateur système #926,4,4,1,3,2,3
Organisationnel,Plan de réponse incident #927,5,2,5,5,4,5
Technologique,Réseau LAN #928,2,2,5,3,5,4
Technologique,Poste critique #929,4,4,1,2,2,5
Organisationnel,Plan de continuité #930,3,2,1,4,2,3
Technologique,Application métier #931,5,5,1,3,1,3
Technologique,Réseau LAN #932,2,4,4,5,2,3
Technologique,Poste critique #933,2,4,2,5,2,2
Informationnel,Casier judiciaire #934,4,2,1,5,5,1
Informationnel,Base état civil #935,3,1,5,3,4,3
Humain,Administrateur réseau #936,2,2,5,3,4,5
Technologique,Réseau LAN #937,2,3,2,3,2,4
Informationnel,Logs sécuritaires #938,5,1,4,3,3,2
Informationnel,Casier judiciaire #939,3,3,1,5,2,5
Informationnel,Base état civil #940,2,5,2,3,5,3
Informationnel,Casier judiciaire #941,3,3,2,3,4,2
Humain,Agent territorial #942,5,2,5,2,4,2
Humain,Opérateur SOC #943,4,2,2,5,4,4
Informationnel,Logs sécuritaires #944,2,5,3,3,4,5
Informationnel,Logs sécuritaires #945,3,2,2,5,4,3
Humain,Agent territorial #946,2,1,4,4,4,2
Informationnel,Logs sécuritaires #947,4,5,5,5,5,5
Informationnel,Casier judiciaire #948,4,5,3,5,5,4
Organisationnel,Plan de réponse incident #949,3,1,4,5,2,5
Organisationnel,Procédure opérationnelle #950,5,1,4,2,4,4
Organisationnel,Processus décisionnel #951,2,2,2,2,2,5
Organisationnel,Politique sécurité #952,3,3,2,3,4,5
Informationnel,Base données identité #953,5,5,3,3,3,1
Humain,Opérateur SOC #954,2,3,3,3,4,4
Humain,Administrateur réseau #955,5,4,1,4,4,2
Organisationnel,Plan de réponse incident #956,4,1,5,2,2,3
Humain,Administrateur système #957,4,2,1,3,4,5
Informationnel,Logs sécuritaires #958,3,4,2,5,4,4
Informationnel,Base état civil #959,3,1,2,2,3,3
Organisationnel,Processus décisionnel #960,3,2,2,2,4,1
Humain,Administrateur système #961,5,2,1,5,3,3
Technologique,Serveur central #962,5,2,1,4,5,3
Organisationnel,Plan de continuité #963,3,4,3,3,1,2
Informationnel,Base état civil #964,4,4,1,5,5,4
Humain,Agent territorial #965,4,2,5,5,4,5
Informationnel,Base données identité #966,3,5,5,4,5,2
Technologique,Poste critique #967,5,4,4,5,3,5
Organisationnel,Procédure opérationnelle #968,5,5,4,4,2,2
Informationnel,Base état civil #969,5,2,1,2,5,2
Technologique,Serveur territorial #970,3,3,4,5,3,5
Organisationnel,Procédure opérationnelle #971,5,1,5,3,5,1
Informationnel,Base données identité #972,2,2,1,3,4,5
Organisationnel,Processus décisionnel #973,4,3,4,3,1,5
Technologique,Serveur central #974,3,5,3,2,4,2
Organisationnel,Politique sécurité #975,4,1,1,4,2,3
Informationnel,Archives numériques #976,4,4,4,3,1,4
Informationnel,Logs sécuritaires #977,3,1,5,4,1,1
Informationnel,Casier judiciaire #978,3,5,3,2,3,1
Humain,Opérateur SOC #979,3,5,4,5,4,5
Technologique,Application métier #980,5,3,5,2,1,1
Informationnel,Logs sécuritaires #981,3,3,3,5,2,2
Humain,Agent territorial #982,2,1,3,4,2,4
Humain,Administrateur système #983,2,2,5,3,3,1
Humain,Agent territorial #984,5,5,4,3,1,5
Technologique,Réseau LAN #985,5,5,1,5,3,5
Technologique,Serveur territorial #986,2,3,4,3,1,3
Humain,Administrateur système #987,2,4,1,4,4,4
Informationnel,Casier judiciaire #988,3,3,3,2,4,4
Informationnel,Logs sécuritaires #989,2,5,1,3,3,3
Organisationnel,Plan de continuité #990,3,2,3,5,2,3
Humain,Administrateur système #991,2,2,4,5,2,4
Technologique,Réseau LAN #992,3,3,1,4,1,3
Humain,Administrateur réseau #993,2,4,4,4,4,1
Organisationnel,Plan de continuité #994,3,3,4,2,4,1
Informationnel,Base données identité #995,4,4,2,2,4,2
Technologique,Poste critique #996,5,4,2,3,2,4
Technologique,Serveur central #997,5,1,3,5,3,2
Technologique,Serveur territorial #998,3,5,2,4,2,4
Humain,Administrateur réseau #999,2,2,3,4,2,3
Humain,Opérateur SOC #1000,5,5,1,4,5,2
